;FW_ID;Hab;Trophic;d13C_observed;d15N_observed;d13C_predicted;d15N_predicted;Ecosystem_Type
280;FWB_160;Pelagic;Primary_resource;NA;NA;-28,54335896;10,6443725;Lotic
281;FWB_161;Benthic;Primary_consumer;-26,9877457;12,33755447;-26,7030984;12,86980047;Lotic
282;FWB_161;Benthic;Primary_resource;-21,76815762;10,54301209;-26,39194198;11,21284346;Lotic
283;FWB_161;Pelagic;Primary_consumer;-28,89011094;11,85850475;-28,85451539;12,30132951;Lotic
284;FWB_161;Pelagic;Primary_resource;NA;NA;-28,54335896;10,6443725;Lotic
285;FWB_162;Benthic;Primary_consumer;NA;4,925;-30,04811634;6,86006962;Lotic
286;FWB_162;Benthic;Primary_resource;-11;3,866666667;-29,73695992;4,795997866;Lotic
287;FWB_162;Pelagic;Primary_resource;NA;NA;-31,8883769;4,227526903;Lotic
288;FWB_162;Pelagic;Primary_consumer;NA;NA;-32,19953333;6,291598657;Lotic
289;FWB_163;Benthic;Primary_consumer;-31,95;6,15;-30,04811634;6,86006962;Lotic
290;FWB_163;Benthic;Primary_resource;-29,125;6,24;-29,73695992;4,795997866;Lotic
